p31,label_en,label_kk,label_ru
Q66817784,Davis Cup team,Davis Cup team,сборная в Кубке Дэвиса
Q67515288,cinema by country or region,cinema by country or region,кинематограф территории
Q67608976,women's national under-17 association football team,women's national under-17 association football team,женская сборная страны по футболу до 17 лет
Q6867185,ministry of industry,ministry of industry,министерство промышленности
Q686984,civil disorder,жаппай тәртіпсіздіктер,массовые беспорядки
Q68800046,industrial disaster,industrial disaster,индустриальный инцидент
Q6881511,enterprise,Кәсіпорын,предприятие
Q689090,Kazakhstani National Road Cycling Championships,Kazakhstani National Road Cycling Championships,Чемпионат Казахстана по шоссейному велоспорту
Q69358181,human rights by country or territory,human rights by country or territory,права человека по странам или территориям
Q69359318,human trafficking by country or territory,human trafficking by country or territory,торговля людьми по стране или территории
Q695850,airbase,Авиациялық база,военный аэродром
Q6979593,national association football team,national association football team,сборная страны по футболу
Q69920471,bandy team,bandy team,команда по хоккею с мячом
Q699386,statutory corporation,statutory corporation,уставная корпорация
Q699405,dwelling,dwelling,жилище
Q70007648,national bandy team,national bandy team,сборная страны по хоккею с мячом
Q70008686,women's national bandy team,women's national bandy team,женская сборная страны по хоккею с мячом
Q701632,municipal council,municipal council,муниципальный совет
Q70363582,academies and institutes,academies and institutes,academies and institutes
Q70477194,mass vaccination,mass vaccination,mass vaccination
Q7075,library,кітапхана,библиотека
Q708676,charitable organization,charitable organization,благотворительная организация
Q7188,government,кабинет,правительство
Q7189622,physical plant,physical plant,промышленное предприятие
Q719642,panethnicity,panethnicity,панэтнос
Q7210356,political organization,political organization,политическая организация
Q7212557,zakaznik,қорықша,заказник
Q7251007,prostitution by region,prostitution by region,проституция на территории
Q726929,film archive,film archive,фильмотека
Q7278,political party,саяси партия,политическая партия
Q728937,railway line,railway line,железнодорожная линия
Q730038,credit institution,credit institution,кредитная организация
Q736917,geological formation,geological formation,геологическая формация
Q7397,software,бағдарламалық жасақтама,программное обеспечение
Q740445,mountain ridge,Жон,кряж
Q74047,ghost town,елес қала,город-призрак
Q740752,transport company,transport company,транспортная компания
Q7415541,sanatorium,Шипажай,санаторий
Q744099,hillfort,hillfort,городище
Q744913,aviation accident,aviation accident,авиационный инцидент
Q746549,dish,dish,блюдо
Q74817647,aspect in a geographic region,aspect in a geographic region,аспект в географическом регионе
Q749565,structural basin,қазаншұңқыр,котловина
Q750215,mass murder,mass murder,массовое убийство
Q75054287,music by country or region,music by country or region,музыка территории
Q75179296,ice hockey league,ice hockey league,хоккейная лига
Q75520,plateau,Үстірт,плато
Q757292,border checkpoint,border checkpoint,пункт пропуска через государственную границу
Q7614320,finance minister,finance minister,министр финансов
Q76212517,café chain,café chain,сеть кофеен
Q76213285,clothing store chain,clothing store chain,clothing store chain
Q7625093,structure fire,structure fire,пожар постройки
Q766875,ethnic conflict,Ұлтаралық қақтығыс,межэтнический конфликт
Q769696,national minority,national minority,национальное меньшинство
Q772547,armed forces,ұлттық қарулы күштер,вооружённые силы
Q7755,constitution,конституция,конституция
Q7834916,transport corridor,transport corridor,Международный транспортный коридор
Q783794,company,фирма,компания
Q785020,sedimentary basin,sedimentary basin,бассейн полезного ископаемого
Q785952,bathhouse,bathhouse,общественная баня
Q786820,automobile manufacturer,automobile manufacturer,автопроизводитель
Q7884789,toponym,топоним,топоним
Q79007,street,көше,улица
Q7944,earthquake,Жер сілкіну,землетрясение
Q79854,Communist Party of the Soviet Union,Кеңес Одағы Коммунистік Партиясы,Коммунистическая партия Советского Союза
Q799000,breast badge,breast badge,нагрудный знак
Q79913,non-governmental organization,Үкіметтік емес ұйымдар,общественная организация
Q80096233,Wikimedia information list,Wikimedia information list,информационный список
Q8016240,trial,trial,судебный процесс
Q8031011,women's national team,women's national team,женская сборная команда
Q8065,natural disaster,Тілсіз қияпат,стихийное бедствие
Q8068,flood,топан су,наводнение
Q810808,batholith,Батолит,Батолит
Q811102,type of building,type of building,тип здания
Q811534,remarkable tree,remarkable tree,примечательное дерево
Q811582,construction ministry,construction ministry,министерство строительства
Q811704,rolling stock class,rolling stock class,тип подвижного состава
Q811979,architectural structure,Ғимарат,сооружение
Q81391454,theatre of an area,theatre of an area,театр на территории
Q8142,currency,валюта,валюта
Q8171,word,сөз,слово
Q82046811,print book format,print book format,формат печатной книги
Q820477,mine,кенорын,рудник
Q820655,statute,заң,закон
Q82794,region,аймақ,географический регион
Q82821,tradition,салт-дәстүр,традиция
Q831663,military campaign,әскери кампания,военная кампания
Q83283600,Asian Road Cycling Championships - Men RR,Asian Road Cycling Championships - Men RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (мужчины)
Q83283604,Asian Road Cycling Championships - Men ITT,Asian Road Cycling Championships - Men ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (мужчины)
Q83283607,Asian Road Cycling Championships - Men U23 RR,Asian Road Cycling Championships - Men U23 RR,Чемпионат Азии по шоссейному велоспорту - групповая гонка (мужчины U23)
Q83283610,Asian Road Cycling Championships - Men U23 ITT,Asian Road Cycling Championships - Men U23 ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (мужчины U23)
Q83328,Turkic peoples,Түркілер,тюрки
Q83405,factory,Фабрика,фабрика
Q83620,thoroughfare,thoroughfare,путь сообщения
Q83741704,COVID-19 pandemic by country and territory,COVID-19 pandemic by country and territory,пандемия COVID-19 в 2019-2020 гг. по странам и территориям
Q839954,archaeological site,Археологиялық ескерткіштер,археологический памятник
Q841654,competition,competition,соревнование
Q8432,civilization,Шағын өркениеттер,цивилизация
Q843214,internationalized country code top-level domain,internationalized country code top-level domain,национальный домен верхнего уровня в национальной кодировке
Q8436,family,отбасы,семья
Q8463186,national association football cup,national association football cup,кубок страны по футболу
Q847017,sports club,sports club,спортивный клуб
Q847906,online magazine,online magazine,интернет-журнал
Q8502,mountain,тау,гора
Q850292,Grand Prix motorcycle racing,Grand Prix motorcycle racing,Чемпионат мира по мотогонкам Гран-при
Q8514,desert,Шөл,пустыня
Q856234,academic library,academic library,научная библиотека
Q856564,library association,library association,библиотечная ассоциация
Q862571,petroleum industry,мұнай өнеркәсібі,нефтяная промышленность
Q865588,committee,комитет,комитет
Q867570,Cyrillic-script alphabet,Cyrillic-script alphabet,алфавиты на основе кириллицы
Q868557,music festival,музыкалық фестиваль,музыкальный фестиваль
Q87167,manuscript,manuscript,рукопись
Q872181,scouting,Скаутизм,скауты
Q87415039,accrediting body,accrediting body,орган по аккредитации
Q878223,highland,highland,нагорье
Q879146,Christian denomination,Christian denomination,христианская конфессия
Q891723,public company,Қоғамдық компания,публичная компания
Q9019918,endorheic lake,Ағынсыз көлдер,бессточное озеро
Q909459,counter-terrorism,counter-terrorism,контртерроризм
Q913703,Kazakh alphabet,Қазақ әліпбиі,казахская письменность
Q917182,military academy,Әскери академия,военная академия
Q91908604,freight train service,freight train service,freight train service
Q9259,World Heritage Site,Әлемдік мұра,всемирное наследие
Q92634207,papal visit,papal visit,papal visit
Q928830,metro station,Метро бекеті,станция метрополитена
Q93436926,Wikidata property for authority control for sports people,Wikidata property for authority control for sports people,"свойство для нормативного контроля людей, относящихся к спорту"
Q9346860,geological structure,geological structure,геологическая структура
Q935741,election commission,Сайлау комиссиясы,избирательная комиссия
Q936648,diarchy,диархия,диархия
Q938381,bid for the Olympic Games,bid for the Olympic Games,Выборы столиц Олимпийских игр
Q9388534,archival collection,archival collection,архивная коллекция
Q94579592,defunct association football club,defunct association football club,расформированный футбольный клуб
Q94696559,national futsal team,national futsal team,national futsal team
Q948571,organ of state,Авторитет,орган государственной власти
Q94993988,commercial traffic aerodrome,commercial traffic aerodrome,коммерческий аэродром
Q95155801,fact-checking organisation,fact-checking organisation,организация по проверке фактов
Q952037,political family,political family,семья политиков
Q954007,affinity,affinity,свойство́
Q961082,gazebo,gazebo,беседка
Q97584729,Wikidata property related to biographical dictionaries,Wikidata property related to biographical dictionaries,свойство Викиданных для биографических словарей
Q98374631,transport by country or region,transport by country or region,транспорт в стране или регионе
Q98374854,tourism in a region,tourism in a region,туризм в регионе
Q98925384,KVN team,KVN team,команда КВН
Q989946,shelter,shelter,укрытие
Q99527323,architecture of geographic location,architecture of geographic location,архитектура территории
